What is the scope of AWS Identity and Access Management (IAM)?,"IAM is a global/universal service, not regional, and is used to manage access to the AWS Console."
"In DynamoDB, a _____ is used to query data on attributes that are not part of the primary key.",Secondary Index (Global or Local)
What is the difference between a Query and a Scan operation in DynamoDB?,"A Query operation efficiently finds items based on the primary key, while a Scan operation examines every item in the table."
What is DynamoDB Accelerator (DAX)?,"A fully managed, in-memory cache for DynamoDB that delivers up to a 10x read performance improvement."
The practice of encrypting a data key with another key (like a CMK) is known as _____.,Envelope Encryption
What is the main difference between an AWS-Managed CMK and a Customer-Managed CMK in KMS?,"You have full control over a Customer-Managed CMK, including its key policy and rotation schedule, whereas AWS manages these aspects for an AWS-Managed CMK."
Which AWS service is a message queue that enables decoupling of application components and uses a pull-based model?,Amazon Simple Queue Service (SQS).
What is the 'Visibility Timeout' in SQS?,The period of time during which a message is hidden from other consumers after it has been picked up by one consumer for processing.
"Which AWS service operates on a publish-subscribe (pub-sub) model, pushing notifications to endpoints like SQS, Lambda, or email?",Amazon Simple Notification Service (SNS).
"Which Elastic Beanstalk deployment strategy deploys a new version in batches, reducing capacity during the update?",Rolling deployment.
Which Elastic Beanstalk deployment strategy enables canary testing by forwarding a percentage of traffic to a new application version?,Traffic splitting.
What is the name of the configuration file used for deployments in Elastic Beanstalk for EC2/on-premises systems?,AppSpec file (appspec.yml).
The AppSpec file must be placed in the _____ directory of your application source code for CodeDeploy to find it.,root
What AWS service provides a fully managed source control service based on Git?,AWS CodeCommit.
"Which AWS service compiles source code, runs tests, and produces software packages that are ready to deploy?",AWS CodeBuild.
What is the function of AWS CodePipeline?,"It's a continuous delivery service that automates the build, test, and deploy phases of your release process every time there is a code change."
What AWS service allows you to model and provision your entire cloud infrastructure as code using YAML or JSON?,AWS CloudFormation.
A set of AWS resources created by a CloudFormation template is known as a _____.,stack
What is the AWS Serverless Application Model (SAM)?,An open-source framework and extension to CloudFormation for building and deploying serverless applications.
"The AWS _____ allows you to define cloud infrastructure using familiar programming languages like Python, Java, or TypeScript.",Cloud Development Kit (CDK)
What is the purpose of Amazon Cognito User Pools?,To act as user directories that provide sign-up and sign-in functionality for web and mobile applications.
What is the purpose of Amazon Cognito Identity Pools?,"To provide temporary AWS credentials to users, enabling them to access AWS services."
The Security Token Service (STS) API call _____ returns temporary security credentials for users authenticated by a web ID provider like Google or Facebook.,AssumeRoleWithWebIdentity
What is the key difference between CloudWatch and CloudTrail?,"CloudWatch monitors resource performance and health (metrics, logs, alarms), while CloudTrail records user activity and API calls for auditing purposes."
"By default, how often does an EC2 instance send metric data to CloudWatch?",In 5-minute intervals.
What is the term for the caching strategy where data is loaded into the cache only when it is first requested by the application?,Lazy loading.
What is the purpose of using stage variables in API Gateway?,"To define configuration settings for a deployment stage, such as backend endpoints, allowing a single API definition to be used across multiple environments (dev, prod)."
How can a developer resolve missing dependencies in a Lambda function without including them in the deployment package?,By creating a Lambda Layer that contains the dependencies and attaching it to the function.
