What is the primary function of AWS Identity and Access Management (IAM)?,To manage users and their level of access to the AWS Console in a centralized and granular way.
"What service provides a fully managed, in-memory cache for DynamoDB to improve read performance for read-heavy workloads?",DynamoDB Accelerator (DAX).
What is the purpose of DynamoDB Streams?,"To capture a time-ordered sequence of item-level modifications in a DynamoDB table, which can be used for auditing or triggering events."
What is the strategy of using progressively longer waits between consecutive retries for a failed API request called?,Exponential Backoff.
"In AWS KMS, what is the practice of encrypting a data key with another key (a CMK) called?",Envelope Encryption.
What is the difference between an AWS-Managed CMK and a Customer-Managed CMK in KMS?,"An AWS-Managed CMK is created and managed by AWS for specific services, whereas a Customer-Managed CMK is created, owned, and managed by the customer."
"In KMS, the `aws kms enable-key-rotation` CLI command enables automatic rotation on what time basis?",A 365-day basis.
What is the function of the Visibility Timeout in Amazon SQS?,"It is the amount of time that a message is hidden from other consumers after a consumer picks it up from the queue, preventing duplicate processing."
Differentiate between Standard and FIFO queues in SQS.,"Standard queues offer at-least-once delivery and best-effort ordering, while FIFO queues guarantee exactly-once processing and preserve the order of messages."
What is the difference between short polling and long polling in SQS?,"Short polling returns a response immediately (even if the queue is empty), while long polling waits until a message arrives in the queue before sending a response."
How can you handle messages larger than 256KB in SQS?,Use the SQS Extended Client Library to automatically store the large message payload in S3 and send a reference to that message in SQS.
Amazon SNS (Simple Notification Service) is based on the _____ messaging model.,Publish-Subscribe (Pub-Sub)
What is the primary function of AWS Kinesis?,"To collect, process, and analyze streaming data in real time."
Which AWS service allows you to deploy and scale web applications where you provide the code and the service handles the underlying infrastructure?,AWS Elastic Beanstalk.
"In Elastic Beanstalk, which deployment strategy deploys the new version to a fresh group of instances before terminating the old ones?",Immutable deployment.
What is Canary Testing in the context of Elastic Beanstalk deployments?,A traffic-splitting deployment where a small percentage of traffic is directed to the new application version for evaluation before a full rollout.
What is the recommended practice for deploying an RDS database for a production Elastic Beanstalk environment?,Deploy the RDS instance outside of the Beanstalk environment to prevent it from being terminated if the environment is terminated.
"Which AWS service is a managed source control service based on Git, similar to GitHub?",AWS CodeCommit.
"Which AWS service compiles source code, runs tests, and produces software packages that are ready to deploy?",AWS CodeBuild.
"In AWS CodeDeploy, what is the purpose of the `AppSpec.yml` file?","It defines the parameters for a deployment, such as file locations and lifecycle event hooks (scripts to run at specific points)."
"Which AWS service orchestrates an end-to-end software release workflow, integrating services like CodeCommit, CodeBuild, and CodeDeploy?",AWS CodePipeline.
What is AWS CodeArtifact?,"A managed artifact repository service for storing, publishing, and sharing software packages used in development."
"What AWS service allows you to manage, configure, and provision your AWS infrastructure as code using YAML or JSON templates?",AWS CloudFormation.
What is the AWS Serverless Application Model (SAM)?,An open-source framework and extension for CloudFormation that simplifies defining and deploying serverless applications.
What is the AWS Cloud Development Kit (CDK)?,"An open-source framework that allows you to define and deploy cloud resources using familiar programming languages, which are then synthesized into CloudFormation templates."
"What service acts as an identity broker, providing web identity federation with sign-up and sign-in functionality for web and mobile apps?",Amazon Cognito.
"In Amazon Cognito, _____ are user directories for sign-up/sign-in, while _____ provide temporary AWS credentials for accessing services.",User Pools; Identity Pools
What is the difference between a managed policy and an inline policy in IAM?,"A managed policy is a standalone, reusable policy that can be attached to multiple entities, while an inline policy is embedded directly into a single user, group, or role and cannot be reused."
"To allow users authenticated by a web ID provider (like Google or Facebook) to get temporary credentials, which STS API call is used?",AssumeRoleWithWebIdentity.
"To monitor OS-level metrics like memory usage and disk space on an EC2 instance, what must be installed?",The CloudWatch Agent.
"Which AWS service records user activity and API calls for governance, compliance, and auditing?",AWS CloudTrail.
What is the purpose of AWS AppSync?,"It is a managed service that uses GraphQL to create a flexible API for securely accessing, manipulating, and combining data from one or more data sources."
What is the lazy loading caching strategy?,A strategy where a record is loaded from the database into the cache only when it is first requested by the application.
"The AWS Certified Developer - Associate exam has a total of 65 questions, but only _____ questions are scored.",50
What is the minimum passing score for the AWS Certified Developer - Associate (DVA-C02) exam?,720 out of 1000.
Which content domain has the highest weighting (32%) on the DVA-C02 exam?,Content Domain 1: Development with AWS Services.
"According to the exam guide, what is one example of a task that is out of scope for the target candidate?","Designing architectures, designing CI/CD pipelines, administering IAM users, administering servers, or designing AWS networking infrastructure."
